id; lat; long; avg_population; driving_percentage; avg_monthly_income; chargers; traffic
aldoar; 41.164; -8.685; 30000; 0.8; 2800; 62; 3
ramalde; 41.169; -8.644; 39000; 0.8; 1500; 121; 15
lordelo; 41.153; -8.643; 28000; 0.8; 1800; 92; 10
paranhos; 41.176; -8.597; 46000; 0.8; 1500; 112; 14
centro; 41.154; -8.618; 38000; 0.8; 1500; 189; 18
bonfim; 41.153; -8.595; 23000; 0.8; 1400; 72; 7
campanha; 41.158; -8.572; 30000; 0.8; 1100; 68; 5
